home,score,away,year
New Zealand ,1–0, Norway,2023
Philippines ,0–2,  Switzerland,2023
New Zealand ,0–1, Philippines,2023
Switzerland ,0–0, Norway,2023
Switzerland ,0–0, New Zealand,2023
Norway ,6–0, Philippines,2023
Australia ,1–0, Republic of Ireland,2023
Nigeria ,0–0, Canada,2023
Canada ,2–1, Republic of Ireland,2023
Australia ,2–3, Nigeria,2023
Canada ,0–4, Australia,2023
Republic of Ireland ,0–0, Nigeria,2023
Spain ,3–0, Costa Rica,2023
Zambia ,0–5, Japan,2023
Japan ,2–0, Costa Rica,2023
Spain ,5–0, Zambia,2023
Japan ,4–0, Spain,2023
Costa Rica ,1–3, Zambia,2023
England ,1–0, Haiti,2023
Denmark ,1–0, China,2023
England ,1–0, Denmark,2023
China ,1–0, Haiti,2023
China ,1–6, England,2023
Haiti ,0–2, Denmark,2023
United States ,3–0, Vietnam,2023
Netherlands ,1–0, Portugal,2023
United States ,1–1, Netherlands,2023
Portugal ,2–0, Vietnam,2023
Portugal ,0–0, United States,2023
Vietnam ,0–7, Netherlands,2023
France ,0–0, Jamaica,2023
Brazil ,4–0, Panama,2023
France ,2–1, Brazil,2023
Panama ,0–1, Jamaica,2023
Panama ,3–6, France,2023
Jamaica ,0–0, Brazil,2023
Sweden ,2–1, South Africa,2023
Italy ,1–0, Argentina,2023
Argentina ,2–2, South Africa,2023
Sweden ,5–0, Italy,2023
Argentina ,0–2, Sweden,2023
South Africa ,3–2, Italy,2023
Germany ,6–0, Morocco,2023
Colombia ,2–0, South Korea,2023
South Korea ,0–1, Morocco,2023
Germany ,1–2, Colombia,2023
South Korea ,1–1, Germany,2023
Morocco ,1–0, Colombia,2023
Switzerland ,1–5, Spain,2023
Japan ,3–1, Norway,2023
Netherlands ,2–0, South Africa,2023
Sweden ,0–0 (a.e.t.), United States,2023
England ,0–0 (a.e.t.), Nigeria,2023
Australia ,2–0, Denmark,2023
Colombia ,1–0, Jamaica,2023
France ,4–0, Morocco,2023
Spain ,2–1 (a.e.t.), Netherlands,2023
Japan ,1–2, Sweden,2023
Australia ,0–0 (a.e.t.), France,2023
England ,2–1, Colombia,2023
Spain ,2–1, Sweden,2023
Australia ,1–3, England,2023
Sweden ,2–0, Australia,2023
Spain ,1–0, England,2023
